point_group,order,max_rotation_order,confidence,tolerance_used,method,conformer_index,smiles,assembly_index
Td,24,12,0.97,0.3,pymatgen,0,[H]C([H])([H])[H],3.32
C3v,6,3,0.89,0.3,pymatgen,0,[H]N([H])[H],3.0
C2v,4,2,0.81,0.3,pymatgen,0,[H]O[H],2.58
D*h,2,2,0.73,0.3,pymatgen,0,[H]C#C[H],3.0
C*v,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#N,2.58
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])=O,3.0
D3d,12,6,0.97,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])[H],3.58
C3v,6,3,0.89,0.3,pymatgen,0,[H]C#CC([H])([H])[H],3.81
C3v,6,3,0.89,0.3,pymatgen,0,[H]C([H])([H])C#N,3.58
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C([H])([H])[H],3.81
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)N([H])[H],3.58
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])[H],4.17
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])OC([H])([H])[H],4.17
D3h,12,6,0.97,0.3,pymatgen,0,[H]C1([H])C([H])([H])C1([H])[H],5.67
C2v,4,2,0.81,0.3,pymatgen,0,[H]C1([H])OC1([H])[H],5.31
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C(=O)C([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]N([H])C(=O)C([H])([H])[H],4.17
C2,2,2,0.73,0.3,pymatgen,0,[H]N([H])C(=O)N([H])[H],4.0
C3v,6,3,0.89,0.3,pymatgen,0,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],4.81
Cs,2,1,0.73,0.3,pymatgen,3,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],4.58
D*h,2,2,0.73,0.3,pymatgen,0,[H][C]C#C[C][H],3.58
C3v,6,3,0.89,0.3,pymatgen,0,[H][C]C#C[NH3+],4.0
D*h,2,2,0.73,0.3,pymatgen,0,N#CC#N,3.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])=O,3.58
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C#N,3.32
C2h,4,2,0.81,0.3,pymatgen,0,[H]C(=O)C([H])=O,3.58
D3h,12,6,0.97,0.3,pymatgen,0,[H]C([H])([H])C#CC([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])([H])C([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C#N,4.17
Cs,2,1,0.73,0.3,pymatgen,1,[H]N([H])C([H])([H])C#N,4.0
Cs,2,1,0.73,0.3,pymatgen,2,[H]C#CC([H])([H])O[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])C#N,3.81
Cs,2,1,0.73,0.3,pymatgen,3,[H]C(=O)C([H])([H])C([H])([H])[H],4.32
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)N([H])C([H])([H])[H],4.17
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)OC([H])([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])C([H])=O,4.0
C2h,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],4.81
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])C([H])([H])[H],4.58
Cs,2,1,0.73,0.3,pymatgen,4,[H]C([H])([H])OC([H])([H])C([H])([H])[H],4.58
C2,2,2,0.73,0.3,pymatgen,2,[H]OC([H])([H])C([H])([H])O[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],6.08
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])[C@]1([H])OC1([H])[H],5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],6.08
Cs,2,1,0.73,0.3,pymatgen,1,[H]OC1([H])C([H])([H])C1([H])[H],5.82
D2d,8,4,0.97,0.3,pymatgen,0,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],6.08
C2v,4,2,0.81,0.3,pymatgen,0,[H]C1([H])OC([H])([H])C1([H])[H],5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]ON=C(C([H])([H])[H])C([H])([H])[H],4.58
C2v,4,2,0.81,0.3,pymatgen,0,[H]c1c([H])c([H])n([H])c1[H],5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nc([H])n([H])c1[H],5.67
C2v,4,2,0.81,0.3,pymatgen,0,[H]c1oc([H])c([H])c1[H],5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nc([H])c([H])o1,5.5
Td,24,12,0.97,0.3,pymatgen,0,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],5.09
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],4.91
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC(=O)C([H])([H])[H],4.17
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C(=O)C#N,4.0
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]/N=C(/C#N)N([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC(=O)N([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C(=O)C([H])([H])[H],4.17
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]/N=C(/C([H])=O)N([H])[H],4.17
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C(=O)N([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],4.7
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],4.58
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#C[C@]([H])(O[H])C([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O[C@@]([H])(C#N)C([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],4.7
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],4.58
Cs,2,1,0.73,0.3,pymatgen,2,[H]OC([H])([H])C(=O)C([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],4.7
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],4.58
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],4.58
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N([H])C(=O)N([H])C([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H][N-]C(OC([H])([H])[H])C([H])([H])[H],4.7
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])OC(=O)C([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]N([H])C(=O)OC([H])([H])[H],4.32
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C(=O)N([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,1,[H]OC(=O)C([H])([H])N([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,3,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],4.91
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],4.7
Cs,2,1,0.73,0.3,pymatgen,1,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],5.09
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],4.91
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],4.91
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],6.41
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H][N-]C1OC([H])([H])C1([H])[H],5.96
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1([H])C(=O)C([H])([H])C1([H])[H],5.96
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N1C(=O)C([H])([H])C1([H])[H],5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1([H])OC(=O)C1([H])[H],5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]N1C([H])([H])C(=O)C1([H])[H],5.82
C2v,4,2,0.81,0.3,pymatgen,0,[H]C1([H])OC([H])([H])C1=O,5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],6.41
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],6.2
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],6.2
Cs,2,1,0.73,0.3,pymatgen,1,[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],6.2
Cs,2,1,0.73,0.3,pymatgen,4,[H]OC1([H])C([H])([H])OC1([H])[H],5.96
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],6.41
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],6.41
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])[C@]1([H])O[C@]1([H])C([H])([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O[C@@]1([H])C([H])([H])[C@@]1([H])O[H],5.96
D3h,12,6,0.97,0.3,pymatgen,0,[H]C1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],7.7
C2v,4,2,0.81,0.3,pymatgen,0,[H]C#CC([H])([H])C#C[H],4.17
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])([H])C#N,4.0
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])(C#N)C#N,3.81
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])([H])C([H])=O,4.17
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)C([H])([H])C#N,4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]/N=C(\[H])N([H])C([H])=O,4.17
Cs,2,1,0.73,0.3,pymatgen,0,[H][N-][C+]([H])OC([H])=O,4.0
C2v,4,2,0.81,0.3,pymatgen,0,[H]C(=O)N([H])C([H])=O,4.0
C3v,6,3,0.89,0.3,pymatgen,0,[H]C#CC#CC([H])([H])[H],4.17
C3v,6,3,0.89,0.3,pymatgen,0,[H]C([H])([H])C#CC#N,4.0
Cs,2,1,0.73,0.3,pymatgen,1,[H]C(=O)C#CC([H])([H])[H],4.17
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C#CC([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],4.7
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])[H],4.81
Cs,2,1,0.73,0.3,pymatgen,3,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],4.7
Cs,2,1,0.73,0.3,pymatgen,3,[H]C([H])([H])C([H])([H])C([H])([H])C#N,4.58
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N(C([H])([H])[H])C([H])([H])C#N,4.46
Cs,2,1,0.73,0.3,pymatgen,3,[H]C#CC([H])([H])OC([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,1,[H]C([H])([H])OC([H])([H])C#N,4.32
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#CC([H])([H])C([H])([H])O[H],4.46
Cs,2,1,0.73,0.3,pymatgen,3,[H]OC([H])([H])C([H])([H])C#N,4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],4.7
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],4.58
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)OC([H])([H])C([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,3,[H]C(=O)C([H])([H])OC([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])C([H])=O,4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],5.09
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],4.91
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],4.91
C2,2,2,0.73,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],4.91
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],4.7
C2,2,2,0.73,0.3,pymatgen,1,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],4.7
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC1([H])C([H])([H])C1([H])[H],5.96
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#C[C@]1([H])N([H])C1([H])[H],5.82
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#C[C@]1([H])OC1([H])[H],5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1([H])C([H])([H])C1([H])C#N,5.82
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]N1C([H])([H])[C@]1([H])C#N,5.67
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C1([H])O[C@@]1([H])C#N,5.5
Cs,2,1,0.73,0.3,pymatgen,1,[H]C(=O)C1([H])C([H])([H])C1([H])[H],5.96
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)[C@]1([H])N([H])C1([H])[H],5.82
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C(=O)[C@]1([H])OC1([H])[H],5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)N1C([H])([H])C1([H])[H],5.82
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],6.41
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])[C@]1([H])OC1([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],6.41
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],6.2
Cs,2,1,0.73,0.3,pymatgen,2,[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])[C@]1([H])N([H])C1([H])[H],6.08
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]OC([H])([H])[C@]1([H])OC1([H])[H],5.96
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],6.2
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C1=NC([H])([H])C([H])([H])O1,5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1=C([H])C([H])([H])OC1([H])[H],5.96
D2,2,2,0.73,0.3,pymatgen,0,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],6.41
C2,2,2,0.73,0.3,pymatgen,0,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],6.2
C2,2,2,0.73,0.3,pymatgen,0,[H]C1([H])OC([H])([H])C([H])([H])O1,5.96
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H],7.7
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]12[H],7.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]C1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],7.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nn([H])c([H])c1[H],5.67
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nnn([H])c1[H],5.5
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nc([H])n([H])n1,5.5
D2d,4,2,0.81,0.3,pymatgen,0,[H]c1nnc([H])n1[H],5.5
C2v,4,2,0.81,0.3,pymatgen,0,[H]c1nn([H])nc1[H],5.5
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1noc([H])c1[H],5.5
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nnoc1[H],5.31
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1noc([H])n1,5.31
C2v,4,2,0.81,0.3,pymatgen,0,[H]c1nnc([H])o1,5.31
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nnno1,5.08
C2v,4,2,0.81,0.3,pymatgen,0,[H]c1nonc1[H],5.31
Cs,2,1,0.73,0.3,pymatgen,0,[H]c1nnon1,5.08
C2v,4,2,0.81,0.3,pymatgen,0,n1nnon1,4.82
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#C/C(=N/O[H])C([H])([H])[H],4.46
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]O/N=C(\C([H])([H])[H])C([H])([H])O[H],4.7
Cs,2,1,0.73,0.3,pymatgen,2,[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H],4.91
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]ONC1C([H])([H])C([H])([H])C1([H])[H],6.41
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]ONC1C([H])([H])N([H])C1([H])[H],6.31
C1,1,1,0.6900000000000001,0.3,pymatgen,0,[H]ONC1C([H])([H])OC1([H])[H],6.2
Td,24,12,0.97,0.3,pymatgen,0,FC(F)(F)F,3.32
Cs,2,1,0.73,0.3,pymatgen,0,[H][N-]c1oc([H])c([H])[n+]1[H],5.82
Cs,2,1,0.73,0.3,pymatgen,0,[H][N-]C1OC([H])=C([H])O1,5.82
